Date;Station;Puits;Numero Serie;Etat test;Defaut;Temps test;Sequence;Isolation Phase/Neutre;Isolation Phase/Neutre_Val;Isolation Phase/Neutre_Min;Isolation Phase/Neutre_Max;Resistance PullUp/Sens1;Resistance PullUp/Sens1_Val;Resistance PullUp/Sens1_Min;Resistance PullUp/Sens1_Max;Resistance PullUp/Sens2;Resistance PullUp/Sens2_Val;Resistance PullUp/Sens2_Min;Resistance PullUp/Sens2_Max;Isolation 5V/Masse;Isolation 5V/Masse_Val;Isolation 5V/Masse_Min;Isolation 5V/Masse_Max;Mesure tension DC 5V;Mesure tension DC 5V_Val;Mesure tension DC 5V_Min;Mesure tension DC 5V_Max;Mesure consommation DC repos;Mesure consommation DC repos_Val;Mesure consommation DC repos_Min;Mesure consommation DC repos_Max;Mesure tension DC 8.8V;Mesure tension DC 8.8V_Val;Mesure tension DC 8.8V_Min;Mesure tension DC 8.8V_Max;Mesure tension DC 5V;Mesure tension DC 5V_Val;Mesure tension DC 5V_Min;Mesure tension DC 5V_Max;Mesure consommation repos;Mesure consommation repos_Val;Mesure consommation repos_Min;Mesure consommation repos_Max;Frequence optique;Frequence optique_Val;Frequence optique_Min;Frequence optique_Max;Etat bas optique;Etat bas optique_Val;Etat bas optique_Min;Etat bas optique_Max;Etat haut optique;Etat haut optique_Val;Etat haut optique_Min;Etat haut optique_Max;Etat indéterminé optique;Etat indéterminé optique_Val;Etat indéterminé optique_Min;Etat indéterminé optique_Max;Mesure consommation moteur allumé en Sens1;Mesure consommation moteur allumé en Sens1_Val;Mesure consommation moteur allumé en Sens1_Min;Mesure consommation moteur allumé en Sens1_Max;Step Description;Step Description_Val;Step Description_Min;Step Description_Max;SensMoteurAttendu [In];Mesure consommation moteur éteint en sens 1;Mesure consommation moteur éteint en sens 1_Val;Mesure consommation moteur éteint en sens 1_Min;Mesure consommation moteur éteint en sens 1_Max;Step Description;Step Description_Val;Step Description_Min;Step Description_Max;Final Loop Index;Final Loop Index_Val;Final Loop Index_Min;Final Loop Index_Max;Mesure consommation moteur allumé en Sens2;Mesure consommation moteur allumé en Sens2_Val;Mesure consommation moteur allumé en Sens2_Min;Mesure consommation moteur allumé en Sens2_Max;Mesure consommation moteur éteint en sens 1;Mesure consommation moteur éteint en sens 1_Val;Mesure consommation moteur éteint en sens 1_Min;Mesure consommation moteur éteint en sens 1_Max;Mesure consommation repos multimètre 2;Mesure consommation repos multimètre 2_Val;Mesure consommation repos multimètre 2_Min;Mesure consommation repos multimètre 2_Max
2016/04/07 17:43:15;FRALS0SNRWS177;1;041556-01_B-16096KIT2R5BZ/;Passed;;45.341;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1122978.9;800000.0;2500000.0;Passed;120135.0;110000.0;130000.0;Passed;120108.8;110000.0;130000.0;Passed;5004.6;4000.0;8000.0;Passed;4.992;4.750;5.250;Passed;0.010616;0.007000;0.013000;Passed;8.790;8.000;9.600;Passed;4.988;4.750;5.250;Passed;0.007964;0.006500;0.009500;Passed;52.2572454347;45;55;Passed;49.88981508147;38;61;Passed;50.11018491853;39;62;Passed;0;0;1;Passed;0.527030;0.450000;0.750000;{0.527030}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008635;0.006000;0.010000;{0.008635}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.508014;0.450000;0.750000;Passed;0.008141;0.006000;0.010000;Passed;0.008134;0.006000;0.010000
2016/04/07 17:43:45;FRALS0SNRWS177;2;041556-01_B-16096KIT2R5C0/;Passed;;44.745;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1138151.2;800000.0;2500000.0;Passed;120435.6;110000.0;130000.0;Passed;120249.6;110000.0;130000.0;Passed;5049.3;4000.0;8000.0;Passed;5.010;4.750;5.250;Passed;0.009988;0.007000;0.013000;Passed;8.854;8.000;9.600;Passed;5.007;4.750;5.250;Passed;0.008036;0.006500;0.009500;Passed;52.58989214776;45;55;Passed;55.40999312014;38;61;Passed;44.54781278703;39;62;Passed;0.042194092827;0;1;Passed;0.527084;0.450000;0.750000;{0.527084}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008570;0.006000;0.010000;{0.008570}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507867;0.450000;0.750000;Passed;0.008048;0.006000;0.010000;Passed;0.008062;0.006000;0.010000
2016/04/07 17:44:45;FRALS0SNRWS177;1;041556-01_B-16096KIT2R5BK/;Passed;;39.186;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1128426.6;800000.0;2500000.0;Passed;120115.0;110000.0;130000.0;Passed;120212.2;110000.0;130000.0;Passed;5012.2;4000.0;8000.0;Passed;4.970;4.750;5.250;Passed;0.010546;0.007000;0.013000;Passed;8.637;8.000;9.600;Passed;4.966;4.750;5.250;Passed;0.007715;0.006500;0.009500;Passed;51.62847185815;45;55;Passed;47.00250369493;38;61;Passed;52.99749630507;39;62;Passed;0;0;1;Passed;0.526675;0.450000;0.750000;{0.526675}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008390;0.006000;0.010000;{0.008390}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507861;0.450000;0.750000;Passed;0.007908;0.006000;0.010000;Passed;0.007898;0.006000;0.010000
2016/04/07 17:45:15;FRALS0SNRWS177;2;041556-01_B-16096KIT2R5BL/;Passed;;39.215;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1136743.1;800000.0;2500000.0;Passed;120270.2;110000.0;130000.0;Passed;120376.4;110000.0;130000.0;Passed;5014.7;4000.0;8000.0;Passed;4.999;4.750;5.250;Passed;0.010725;0.007000;0.013000;Passed;8.690;8.000;9.600;Passed;4.996;4.750;5.250;Passed;0.008047;0.006500;0.009500;Passed;52.85385448761;45;55;Passed;58.11806533822;38;61;Passed;41.797931418;39;62;Passed;0.08400324377688;0;1;Passed;0.527091;0.450000;0.750000;{0.527091}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008613;0.006000;0.010000;{0.008613}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.508190;0.450000;0.750000;Passed;0.008080;0.006000;0.010000;Passed;0.008092;0.006000;0.010000
2016/04/07 17:45:42;FRALS0SNRWS177;1;041556-01_B-16096KIT2R5BM/;Passed;;39.530;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1138909.8;800000.0;2500000.0;Passed;120237.1;110000.0;130000.0;Passed;120134.6;110000.0;130000.0;Passed;5048.7;4000.0;8000.0;Passed;4.998;4.750;5.250;Passed;0.010611;0.007000;0.013000;Passed;8.749;8.000;9.600;Passed;4.994;4.750;5.250;Passed;0.008067;0.006500;0.009500;Passed;52.45177159603;45;55;Passed;46.57170247625;38;61;Passed;53.42829752375;39;62;Passed;0;0;1;Passed;0.526952;0.450000;0.750000;{0.526952}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008675;0.006000;0.010000;{0.008675}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507968;0.450000;0.750000;Passed;0.008114;0.006000;0.010000;Passed;0.008108;0.006000;0.010000
2016/04/07 17:46:09;FRALS0SNRWS177;2;041556-01_B-16096KIT2R5BN/;Passed;;39.479;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1132161.4;800000.0;2500000.0;Passed;120442.9;110000.0;130000.0;Passed;120356.0;110000.0;130000.0;Passed;5004.7;4000.0;8000.0;Passed;5.021;4.750;5.250;Passed;0.010851;0.007000;0.013000;Passed;8.715;8.000;9.600;Passed;5.018;4.750;5.250;Passed;0.007874;0.006500;0.009500;Passed;53.12110524067;45;55;Passed;58.28656065727;38;61;Passed;41.67133407957;39;62;Passed;0.04210526315789;0;1;Passed;0.526799;0.450000;0.750000;{0.526799}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x5;0x3;0x5;1;Passed;0.008454;0.006000;0.010000;{0.008454}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507893;0.450000;0.750000;Passed;0.007935;0.006000;0.010000;Passed;0.007930;0.006000;0.010000
2016/04/07 17:46:37;FRALS0SNRWS177;1;041556-01_B-16096KIT2R5BQ/;Passed;;39.261;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1139273.6;800000.0;2500000.0;Passed;120231.9;110000.0;130000.0;Passed;120236.0;110000.0;130000.0;Passed;5050.5;4000.0;8000.0;Passed;5.040;4.750;5.250;Passed;0.010596;0.007000;0.013000;Passed;8.727;8.000;9.600;Passed;5.036;4.750;5.250;Passed;0.007996;0.006500;0.009500;Passed;52.42215398633;45;55;Passed;47.8513424948;38;61;Passed;52.10583095274;39;62;Passed;0.04282655246253;0;1;Passed;0.527024;0.450000;0.750000;{0.527024}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008586;0.006000;0.010000;{0.008586}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507892;0.450000;0.750000;Passed;0.008040;0.006000;0.010000;Passed;0.008037;0.006000;0.010000
2016/04/07 17:47:03;FRALS0SNRWS177;2;041556-01_B-16096KIT2R5BR/;Passed;;39.777;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1126342.9;800000.0;2500000.0;Passed;120258.2;110000.0;130000.0;Passed;120068.7;110000.0;130000.0;Passed;5051.6;4000.0;8000.0;Passed;4.990;4.750;5.250;Passed;0.010911;0.007000;0.013000;Passed;8.646;8.000;9.600;Passed;4.987;4.750;5.250;Passed;0.007820;0.006500;0.009500;Passed;53.11506166992;45;55;Passed;55.05045321629;38;61;Passed;44.94954678371;39;62;Passed;0;0;1;Passed;0.526788;0.450000;0.750000;{0.526788}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008432;0.006000;0.010000;{0.008432}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507931;0.450000;0.750000;Passed;0.007924;0.006000;0.010000;Passed;0.007929;0.006000;0.010000
2016/04/07 17:47:32;FRALS0SNRWS177;1;041556-01_B-16096KIT2R5BS/;Passed;;39.361;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1129716.9;800000.0;2500000.0;Passed;120123.7;110000.0;130000.0;Passed;120171.7;110000.0;130000.0;Passed;5058.1;4000.0;8000.0;Passed;5.016;4.750;5.250;Passed;0.010441;0.007000;0.013000;Passed;8.800;8.000;9.600;Passed;5.013;4.750;5.250;Passed;0.007976;0.006500;0.009500;Passed;52.23293964175;45;55;Passed;52.16641241238;38;61;Passed;47.83358758762;39;62;Passed;0;0;1;Passed;0.527022;0.450000;0.750000;{0.527022}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x5;0x3;0x5;1;Passed;0.008578;0.006000;0.010000;{0.008578}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507920;0.450000;0.750000;Passed;0.008037;0.006000;0.010000;Passed;0.008041;0.006000;0.010000
2016/04/07 17:47:58;FRALS0SNRWS177;2;041556-01_B-16096KIT2R5BT/;Passed;;39.684;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1131817.2;800000.0;2500000.0;Passed;120171.6;110000.0;130000.0;Passed;120164.0;110000.0;130000.0;Passed;5049.5;4000.0;8000.0;Passed;5.014;4.750;5.250;Passed;0.010867;0.007000;0.013000;Passed;8.811;8.000;9.600;Passed;5.011;4.750;5.250;Passed;0.007957;0.006500;0.009500;Passed;52.71334333297;45;55;Passed;57.67270330715;38;61;Passed;42.28588882536;39;62;Passed;0.04140786749482;0;1;Passed;0.527054;0.450000;0.750000;{0.527054}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008605;0.006000;0.010000;{0.008605}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.508098;0.450000;0.750000;Passed;0.008019;0.006000;0.010000;Passed;0.008016;0.006000;0.010000
2016/04/07 17:49:10;FRALS0SNRWS177;1;041556-01_B-16096KIT2R5BU/;Passed;;39.098;C:\BancTest\Distrib\Specific\Mi2\041556_xx_B_MI2_CA106_E----_V1.seq;Passed;1129278.8;800000.0;2500000.0;Passed;120216.3;110000.0;130000.0;Passed;120189.0;110000.0;130000.0;Passed;5022.9;4000.0;8000.0;Passed;5.024;4.750;5.250;Passed;0.010646;0.007000;0.013000;Passed;8.714;8.000;9.600;Passed;5.020;4.750;5.250;Passed;0.007816;0.006500;0.009500;Passed;52.44822171006;45;55;Passed;43.63317394607;38;61;Passed;56.36682605393;39;62;Passed;0;0;1;Passed;0.526899;0.450000;0.750000;{0.526899}, Numeric Limit Test,  0.450000 <= x <= 0.750000, A, Call _Mesure courant secteur in <Current File>;0x4;0x3;0x5;1;Passed;0.008370;0.006000;0.010000;{0.008370}, Numeric Limit Test,  0.006000 <= x <= 0.010000, A, Call _Mesure courant secteur in <Current File>;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;1;0x1;x == 0x1, Call Lecture EtatBloqueParMicro in Mi2_DUTFunctions.seq;;Passed;0.507713;0.450000;0.750000;Passed;0.007858;0.006000;0.010000;Passed;0.007845;0.006000;0.010000
